,u,i,ts,label,idx
224,81,59,512420.0,0.0,225
225,97,33,513591.0,0.0,226
226,119,101,514513.0,0.0,227
227,120,121,514849.0,0.0,228
228,120,121,514865.0,0.0,229
229,121,120,514936.0,0.0,230
230,121,76,515011.0,0.0,231
231,120,121,515110.0,0.0,232
232,121,120,515133.0,0.0,233
233,120,59,515209.0,0.0,234
234,75,74,515562.0,0.0,235
235,119,121,516157.0,0.0,236
236,122,109,516647.0,0.0,237
237,73,107,516871.0,0.0,238
238,45,93,517692.0,0.0,239
239,27,123,518107.0,0.0,240
240,45,80,519589.0,0.0,241
241,2,124,520383.0,0.0,242
242,97,125,521607.0,0.0,243
243,126,127,521693.0,0.0,244
244,37,105,522825.0,0.0,245
245,45,80,524379.0,0.0,246
246,45,80,525021.0,0.0,247
247,37,125,525159.0,0.0,248
248,37,128,525789.0,0.0,249
249,37,129,525840.0,0.0,250
250,45,80,526073.0,0.0,251
251,45,130,526187.0,0.0,252
252,45,117,526350.0,0.0,253
253,10,121,526493.0,0.0,254
254,80,59,526892.0,0.0,255
255,37,110,528007.0,0.0,256
256,125,110,528135.0,0.0,257
257,37,110,528307.0,0.0,258
258,125,62,528383.0,0.0,259
259,125,73,528585.0,0.0,260
260,37,110,529088.0,0.0,261
261,37,113,529429.0,0.0,262
262,125,86,529672.0,0.0,263
263,86,125,529786.0,0.0,264
264,33,131,529852.0,0.0,265
265,37,113,529886.0,0.0,266
266,125,86,529929.0,0.0,267
267,73,125,530817.0,0.0,268
268,125,9,531074.0,0.0,269
269,132,31,531402.0,0.0,270
270,100,127,532186.0,0.0,271
271,104,73,532565.0,0.0,272
272,104,73,532926.0,0.0,273
273,104,64,533203.0,0.0,274
274,104,118,533300.0,0.0,275
275,104,73,533684.0,0.0,276
276,132,31,535657.0,0.0,277
277,70,96,536347.0,0.0,278
278,70,125,536365.0,0.0,279
279,70,80,536376.0,0.0,280
280,133,31,536395.0,0.0,281
281,37,100,536728.0,0.0,282
282,37,134,536773.0,0.0,283
283,37,61,536815.0,0.0,284
284,37,135,537017.0,0.0,285
285,37,134,537090.0,0.0,286
286,37,82,537243.0,0.0,287
287,104,73,537520.0,0.0,288
288,104,136,537741.0,0.0,289
289,134,136,537825.0,0.0,290
290,136,134,537866.0,0.0,291
291,37,134,537876.0,0.0,292
292,104,136,537888.0,0.0,293
293,20,53,538111.0,0.0,294
294,134,136,538119.0,0.0,295
295,104,136,538187.0,0.0,296
296,104,136,538235.0,0.0,297
297,136,134,538241.0,0.0,298
298,134,136,538305.0,0.0,299
299,37,134,538319.0,0.0,300
300,37,134,538773.0,0.0,301
301,37,134,539570.0,0.0,302
302,10,110,541633.0,0.0,303
303,10,110,542627.0,0.0,304
304,63,137,543625.0,0.0,305
305,97,33,544173.0,0.0,306
306,138,139,545218.0,0.0,307
307,97,138,545417.0,0.0,308
308,20,121,545620.0,0.0,309
309,45,91,545631.0,0.0,310
310,97,138,545645.0,0.0,311
311,138,139,545654.0,0.0,312
312,20,140,546064.0,0.0,313
313,45,61,546615.0,0.0,314
314,45,89,546707.0,0.0,315
315,45,103,546778.0,0.0,316
316,45,91,546831.0,0.0,317
317,20,112,546840.0,0.0,318
318,45,91,547046.0,0.0,319
319,10,33,547070.0,0.0,320
320,45,91,547219.0,0.0,321
321,45,91,547390.0,0.0,322
322,104,64,547603.0,0.0,323
323,104,73,547650.0,0.0,324
324,39,87,547701.0,0.0,325
325,141,106,547738.0,0.0,326
326,104,73,548228.0,0.0,327
327,39,87,548721.0,0.0,328
328,39,102,548927.0,0.0,329
329,39,102,549682.0,0.0,330
330,39,102,549724.0,0.0,331
331,104,102,549819.0,0.0,332
332,39,102,549929.0,0.0,333
333,104,102,549936.0,0.0,334
334,39,62,550894.0,0.0,335
335,76,121,550898.0,0.0,336
336,39,82,551005.0,0.0,337
337,45,142,551147.0,0.0,338
338,45,142,551243.0,0.0,339
339,45,75,551718.0,0.0,340
340,45,128,551845.0,0.0,341
341,125,136,554008.0,0.0,342
342,141,125,554373.0,0.0,343
343,20,83,554465.0,0.0,344
344,20,83,554760.0,0.0,345
345,20,83,554884.0,0.0,346
346,106,57,555087.0,0.0,347
347,20,83,555145.0,0.0,348
348,125,136,555212.0,0.0,349
349,106,59,555276.0,0.0,350
350,106,64,555290.0,0.0,351
351,20,83,555293.0,0.0,352
352,106,62,555372.0,0.0,353
353,106,136,555556.0,0.0,354
354,125,136,555874.0,0.0,355
355,72,73,556775.0,0.0,356
356,136,125,557007.0,0.0,357
357,10,33,557142.0,0.0,358
358,64,106,557168.0,0.0,359
359,73,72,557403.0,0.0,360
360,143,59,557505.0,0.0,361
361,125,136,557591.0,0.0,362
362,125,136,557780.0,0.0,363
363,144,33,557933.0,0.0,364
364,145,100,558242.0,0.0,365
365,145,106,558383.0,0.0,366
366,145,122,558517.0,0.0,367
367,10,110,558621.0,0.0,368
368,104,110,559844.0,0.0,369
369,104,64,560026.0,0.0,370
370,104,64,560737.0,0.0,371
371,104,110,560875.0,0.0,372
372,49,82,560878.0,0.0,373
373,96,82,561060.0,0.0,374
374,146,49,561102.0,0.0,375
375,96,64,561112.0,0.0,376
376,146,96,561242.0,0.0,377
377,96,110,561246.0,0.0,378
378,146,96,561374.0,0.0,379
379,146,49,561510.0,0.0,380
380,146,96,561672.0,0.0,381
381,146,49,561875.0,0.0,382
382,146,49,562017.0,0.0,383
383,96,110,562088.0,0.0,384
384,97,49,562300.0,0.0,385
385,96,110,562433.0,0.0,386
386,97,96,562701.0,0.0,387
387,97,96,562869.0,0.0,388
388,97,49,562919.0,0.0,389
389,97,96,563088.0,0.0,390
390,106,145,564315.0,0.0,391
391,106,64,564329.0,0.0,392
392,7,147,565197.0,0.0,393
393,45,61,585764.0,0.0,394
394,45,106,585806.0,0.0,395
395,64,96,586229.0,0.0,396
396,45,33,588271.0,0.0,397
397,115,106,589642.0,0.0,398
398,35,110,589820.0,0.0,399
399,37,106,589976.0,0.0,400
400,37,110,590054.0,0.0,401
401,37,148,590546.0,0.0,402
402,45,33,591154.0,0.0,403
403,20,121,592120.0,0.0,404
404,10,137,593212.0,0.0,405
405,10,149,593232.0,0.0,406
406,10,150,593290.0,0.0,407
407,10,151,593337.0,0.0,408
408,10,152,593423.0,0.0,409
409,10,153,593515.0,0.0,410
410,10,154,593535.0,0.0,411
411,10,59,593552.0,0.0,412
412,10,59,593561.0,0.0,413
413,10,136,593584.0,0.0,414
414,10,23,593605.0,0.0,415
415,10,9,593703.0,0.0,416
416,10,155,593798.0,0.0,417
417,10,122,593918.0,0.0,418
418,2,136,594554.0,0.0,419
419,4,156,594798.0,0.0,420
420,37,110,594931.0,0.0,421
421,4,156,594991.0,0.0,422
422,31,133,595445.0,0.0,423
423,4,59,595962.0,0.0,424
424,69,57,597726.0,0.0,425
425,37,157,600831.0,0.0,426
426,132,31,601695.0,0.0,427
427,102,52,602677.0,0.0,428
428,102,35,602906.0,0.0,429
429,10,9,603129.0,0.0,430
430,37,74,604172.0,0.0,431
431,97,96,604842.0,0.0,432
432,10,77,605987.0,0.0,433
433,10,9,606216.0,0.0,434
434,10,158,607059.0,0.0,435
435,20,159,607681.0,0.0,436
436,10,59,607835.0,0.0,437
437,10,33,608167.0,0.0,438
438,45,130,612419.0,0.0,439
439,106,136,612440.0,0.0,440
440,106,130,612516.0,0.0,441
441,45,130,612684.0,0.0,442
442,45,130,612737.0,0.0,443
443,45,130,612777.0,0.0,444
444,52,102,612890.0,0.0,445
445,2,160,612926.0,0.0,446
446,45,75,614423.0,0.0,447
447,45,130,614597.0,0.0,448
448,161,73,616660.0,0.0,449
449,130,9,617509.0,0.0,450
450,37,148,617803.0,0.0,451
451,37,110,617872.0,0.0,452
452,37,106,617959.0,0.0,453
453,37,130,617990.0,0.0,454
454,10,9,618025.0,0.0,455
455,35,102,621781.0,0.0,456
456,162,163,622895.0,0.0,457
457,164,73,624287.0,0.0,458
458,33,165,625266.0,0.0,459
459,59,9,626013.0,0.0,460
460,33,59,626184.0,0.0,461
461,42,77,626525.0,0.0,462
462,42,121,626597.0,0.0,463
463,42,133,626633.0,0.0,464
464,42,166,626671.0,0.0,465
465,42,167,626706.0,0.0,466
466,42,158,626725.0,0.0,467
467,42,168,626771.0,0.0,468
468,42,169,626793.0,0.0,469
469,42,170,626809.0,0.0,470
470,42,135,626839.0,0.0,471
471,57,69,626929.0,0.0,472
472,42,57,626954.0,0.0,473
473,57,155,626982.0,0.0,474
474,57,171,627057.0,0.0,475
475,57,172,627075.0,0.0,476
476,57,173,627087.0,0.0,477
477,104,102,627421.0,0.0,478
478,52,158,627526.0,0.0,479
479,33,131,627669.0,0.0,480
480,9,59,628303.0,0.0,481
481,9,165,628396.0,0.0,482
482,104,64,629143.0,0.0,483
483,104,174,629312.0,0.0,484
484,68,155,629702.0,0.0,485
485,33,27,630202.0,0.0,486
486,97,164,631522.0,0.0,487
487,10,59,631997.0,0.0,488
488,42,57,632041.0,0.0,489
489,10,21,632263.0,0.0,490
490,10,166,632304.0,0.0,491
491,10,62,632465.0,0.0,492
492,104,110,633293.0,0.0,493
493,33,156,633414.0,0.0,494
494,33,110,633478.0,0.0,495
495,33,175,633555.0,0.0,496
496,176,51,633582.0,0.0,497
497,104,86,634063.0,0.0,498
498,125,110,634154.0,0.0,499
499,165,9,634333.0,0.0,500
500,104,64,634797.0,0.0,501
501,39,129,635048.0,0.0,502
502,104,64,635071.0,0.0,503
503,104,64,635130.0,0.0,504
504,20,110,635178.0,0.0,505
505,104,64,635238.0,0.0,506
506,104,64,635314.0,0.0,507
507,162,165,635327.0,0.0,508
508,162,165,635329.0,0.0,509
509,39,110,635377.0,0.0,510
510,42,64,635409.0,0.0,511
511,104,64,635497.0,0.0,512
512,177,64,635517.0,0.0,513
513,42,64,635519.0,0.0,514
514,177,64,635611.0,0.0,515
515,42,64,635634.0,0.0,516
516,162,64,635666.0,0.0,517
517,104,64,635672.0,0.0,518
518,42,64,635677.0,0.0,519
519,177,64,635723.0,0.0,520
520,42,64,635726.0,0.0,521
521,162,64,635736.0,0.0,522
522,104,64,635751.0,0.0,523
523,33,165,635753.0,0.0,524
524,177,64,635774.0,0.0,525
525,42,64,635806.0,0.0,526
526,177,64,635864.0,0.0,527
527,42,64,635871.0,0.0,528
528,162,64,635880.0,0.0,529
529,104,64,635906.0,0.0,530
530,42,178,635931.0,0.0,531
531,42,178,635935.0,0.0,532
532,165,179,635957.0,0.0,533
533,165,178,635974.0,0.0,534
534,33,176,635986.0,0.0,535
535,33,178,636002.0,0.0,536
536,177,64,636027.0,0.0,537
537,165,180,636029.0,0.0,538
538,42,64,636067.0,0.0,539
539,33,180,636081.0,0.0,540
540,42,64,636100.0,0.0,541
541,42,64,636197.0,0.0,542
542,42,64,636220.0,0.0,543
543,42,64,636304.0,0.0,544
544,162,64,636331.0,0.0,545
545,97,165,636445.0,0.0,546
546,42,64,636559.0,0.0,547
547,42,178,636616.0,0.0,548
548,42,178,636656.0,0.0,549
549,42,64,636687.0,0.0,550
550,42,178,636712.0,0.0,551
551,42,64,636775.0,0.0,552
552,162,64,636786.0,0.0,553
553,33,178,636790.0,0.0,554
554,42,178,636800.0,0.0,555
555,33,178,636881.0,0.0,556
556,42,178,636885.0,0.0,557
557,42,64,636917.0,0.0,558
558,42,181,636932.0,0.0,559
559,33,178,637015.0,0.0,560
560,42,64,637032.0,0.0,561
561,162,64,637047.0,0.0,562
562,42,178,637051.0,0.0,563
563,42,181,637073.0,0.0,564
564,178,33,637194.0,0.0,565
565,42,64,637229.0,0.0,566
566,42,178,637246.0,0.0,567
567,181,178,637255.0,0.0,568
568,181,178,637262.0,0.0,569
569,181,182,637331.0,0.0,570
570,42,178,637335.0,0.0,571
571,181,183,637385.0,0.0,572
572,42,181,637468.0,0.0,573
573,42,91,637488.0,0.0,574
574,42,64,637518.0,0.0,575
575,33,178,637544.0,0.0,576
576,42,181,637651.0,0.0,577
577,42,64,637674.0,0.0,578
578,42,178,637687.0,0.0,579
579,178,181,637719.0,0.0,580
580,178,181,637783.0,0.0,581
581,178,33,637831.0,0.0,582
582,42,181,637861.0,0.0,583
583,42,178,637916.0,0.0,584
584,42,181,637921.0,0.0,585
585,33,178,637942.0,0.0,586
586,42,64,637948.0,0.0,587
587,184,185,638042.0,0.0,588
588,42,64,638231.0,0.0,589
589,178,33,638275.0,0.0,590
590,33,178,638335.0,0.0,591
591,42,178,638382.0,0.0,592
592,178,33,638405.0,0.0,593
593,176,33,638444.0,0.0,594
594,33,178,638460.0,0.0,595
595,33,176,638490.0,0.0,596
596,42,169,638561.0,0.0,597
597,176,33,638687.0,0.0,598
598,42,169,638798.0,0.0,599
599,42,178,638806.0,0.0,600
600,178,33,638818.0,0.0,601
601,64,175,638840.0,0.0,602
602,175,64,638858.0,0.0,603
603,64,175,638868.0,0.0,604
604,175,64,638897.0,0.0,605
605,42,169,638908.0,0.0,606
606,42,178,638932.0,0.0,607
607,33,176,638951.0,0.0,608
608,64,175,638963.0,0.0,609
609,175,64,638994.0,0.0,610
610,42,169,638999.0,0.0,611
611,10,33,639021.0,0.0,612
612,42,178,639034.0,0.0,613
613,64,175,639037.0,0.0,614
614,33,178,639044.0,0.0,615
615,176,33,639078.0,0.0,616
616,33,176,639172.0,0.0,617
617,42,169,639206.0,0.0,618
618,42,178,639235.0,0.0,619
619,42,169,639245.0,0.0,620
620,42,169,639253.0,0.0,621
621,64,156,639298.0,0.0,622
622,175,64,639310.0,0.0,623
623,42,178,639329.0,0.0,624
624,178,33,639337.0,0.0,625
625,42,169,639344.0,0.0,626
626,176,33,639355.0,0.0,627
627,64,175,639369.0,0.0,628
628,175,64,639433.0,0.0,629
629,64,175,639454.0,0.0,630
630,42,169,639502.0,0.0,631
631,42,178,639524.0,0.0,632
632,42,178,639557.0,0.0,633
633,33,176,639578.0,0.0,634
634,42,178,639579.0,0.0,635
635,176,33,639771.0,0.0,636
636,176,33,639792.0,0.0,637
637,33,176,639871.0,0.0,638
638,42,178,639949.0,0.0,639
639,42,169,639962.0,0.0,640
640,175,64,639966.0,0.0,641
641,64,175,640025.0,0.0,642
642,42,169,640060.0,0.0,643
643,42,169,640161.0,0.0,644
644,42,178,640189.0,0.0,645
645,42,169,640214.0,0.0,646
646,42,178,640237.0,0.0,647
647,175,64,640264.0,0.0,648
648,64,175,640282.0,0.0,649
649,42,169,640574.0,0.0,650
650,42,178,640627.0,0.0,651
651,42,178,640909.0,0.0,652
652,42,178,640941.0,0.0,653
653,42,178,641287.0,0.0,654
654,10,33,641300.0,0.0,655
655,42,178,641302.0,0.0,656
656,42,186,641312.0,0.0,657
657,42,169,641326.0,0.0,658
658,186,148,641487.0,0.0,659
659,186,33,641654.0,0.0,660
660,42,186,641721.0,0.0,661
661,42,178,641738.0,0.0,662
662,33,186,641878.0,0.0,663
663,187,186,641887.0,0.0,664
664,141,186,641895.0,0.0,665
665,156,33,641896.0,0.0,666
666,33,156,641919.0,0.0,667
667,186,187,641952.0,0.0,668
668,156,64,642010.0,0.0,669
669,42,178,642119.0,0.0,670
670,104,178,642170.0,0.0,671
671,188,187,642314.0,0.0,672
672,186,98,642403.0,0.0,673
673,104,98,642438.0,0.0,674
674,188,187,642456.0,0.0,675
675,42,186,642546.0,0.0,676
676,42,186,642568.0,0.0,677
677,42,187,642609.0,0.0,678
678,42,186,642617.0,0.0,679
679,42,187,642690.0,0.0,680
680,186,64,642867.0,0.0,681
681,42,169,642902.0,0.0,682
682,188,187,642972.0,0.0,683
683,64,156,643044.0,0.0,684
684,64,186,643083.0,0.0,685
685,104,59,643179.0,0.0,686
686,104,64,643234.0,0.0,687
687,188,187,643293.0,0.0,688
688,104,189,643497.0,0.0,689
689,190,176,643505.0,0.0,690
690,190,176,643556.0,0.0,691
691,141,186,643653.0,0.0,692
692,188,187,643656.0,0.0,693
693,186,110,643674.0,0.0,694
694,141,186,643974.0,0.0,695
695,190,9,644517.0,0.0,696
696,103,98,644520.0,0.0,697
697,141,186,644663.0,0.0,698
698,42,87,644802.0,0.0,699
699,42,189,645085.0,0.0,700
700,102,101,645802.0,0.0,701
701,102,191,646421.0,0.0,702
702,192,176,646439.0,0.0,703
703,102,191,646442.0,0.0,704
704,102,191,646472.0,0.0,705
705,102,191,646541.0,0.0,706
706,102,191,646563.0,0.0,707
707,104,193,646614.0,0.0,708
708,102,191,646675.0,0.0,709
709,102,191,646716.0,0.0,710
710,102,191,646729.0,0.0,711
711,102,191,646780.0,0.0,712
712,102,191,646805.0,0.0,713
713,102,191,646816.0,0.0,714
714,102,191,646828.0,0.0,715
715,102,191,646834.0,0.0,716
716,194,150,646877.0,0.0,717
717,102,101,646887.0,0.0,718
718,194,191,646929.0,0.0,719
719,192,79,646964.0,0.0,720
720,102,191,646980.0,0.0,721
721,102,191,646988.0,0.0,722
722,191,110,647054.0,0.0,723
723,102,191,647075.0,0.0,724
724,194,191,647101.0,0.0,725
725,110,125,647391.0,0.0,726
726,104,110,647391.0,0.0,727
727,104,191,647476.0,0.0,728
728,104,110,647664.0,0.0,729
729,104,110,647753.0,0.0,730
730,42,193,648550.0,0.0,731
731,195,150,649690.0,0.0,732
732,195,196,650155.0,0.0,733
733,177,21,651920.0,0.0,734
734,177,62,651925.0,0.0,735
735,177,150,651941.0,0.0,736
736,177,121,651946.0,0.0,737
737,177,133,651951.0,0.0,738
738,177,87,651960.0,0.0,739
739,177,98,651984.0,0.0,740
740,177,73,652008.0,0.0,741
741,177,59,652012.0,0.0,742
742,177,9,652017.0,0.0,743
743,177,197,652220.0,0.0,744
744,177,198,652228.0,0.0,745
745,177,199,652232.0,0.0,746
746,177,200,652241.0,0.0,747
747,177,201,652245.0,0.0,748
748,177,191,652249.0,0.0,749
749,177,193,652254.0,0.0,750
750,177,202,652258.0,0.0,751
751,177,189,652262.0,0.0,752
752,177,203,652269.0,0.0,753
753,177,186,652274.0,0.0,754
754,177,204,652279.0,0.0,755
755,177,181,652292.0,0.0,756
756,177,182,652301.0,0.0,757
757,177,178,652306.0,0.0,758
758,177,185,652314.0,0.0,759
759,177,176,652321.0,0.0,760
760,177,167,653073.0,0.0,761
761,205,206,657874.0,0.0,762
762,205,105,657914.0,0.0,763
763,205,185,658197.0,0.0,764
764,190,145,658749.0,0.0,765
765,4,186,676745.0,0.0,766
766,4,33,677523.0,0.0,767
767,200,59,677648.0,0.0,768
768,64,186,677945.0,0.0,769
769,64,200,678106.0,0.0,770
770,64,185,678153.0,0.0,771
771,200,102,678436.0,0.0,772
772,195,200,679833.0,0.0,773
773,195,207,679927.0,0.0,774
774,195,208,679986.0,0.0,775
775,205,124,680188.0,0.0,776
776,122,192,680338.0,0.0,777
777,176,192,680365.0,0.0,778
778,205,130,680386.0,0.0,779
779,64,200,680435.0,0.0,780
780,102,185,680438.0,0.0,781
781,102,209,680541.0,0.0,782
782,64,47,680618.0,0.0,783
783,64,200,681679.0,0.0,784
784,102,89,682217.0,0.0,785
785,192,122,682920.0,0.0,786
786,192,176,682933.0,0.0,787
787,104,178,683022.0,0.0,788
788,200,21,683124.0,0.0,789
789,185,102,683183.0,0.0,790
790,104,133,683231.0,0.0,791
791,200,210,683482.0,0.0,792
792,102,185,683605.0,0.0,793
793,37,106,683967.0,0.0,794
794,104,211,684020.0,0.0,795
795,37,210,684112.0,0.0,796
796,185,102,684618.0,0.0,797
797,210,200,684743.0,0.0,798
798,200,210,684961.0,0.0,799
799,200,211,685124.0,0.0,800
800,102,185,685458.0,0.0,801
801,185,102,686854.0,0.0,802
802,177,102,688298.0,0.0,803
803,69,102,688701.0,0.0,804
804,33,199,689501.0,0.0,805
805,212,102,690919.0,0.0,806
806,213,210,690927.0,0.0,807
807,212,214,691163.0,0.0,808
808,212,94,691186.0,0.0,809
809,212,86,691233.0,0.0,810
810,190,200,691559.0,0.0,811
811,215,216,692430.0,0.0,812
812,104,110,692470.0,0.0,813
813,104,216,692513.0,0.0,814
814,104,83,692534.0,0.0,815
815,45,215,692554.0,0.0,816
816,104,216,692730.0,0.0,817
817,64,200,692732.0,0.0,818
818,64,200,692769.0,0.0,819
819,104,216,692879.0,0.0,820
820,104,216,692904.0,0.0,821
821,104,169,692989.0,0.0,822
